# This data is from pysph.examples.ghia_cavity_data for Re=100.
# x, v, y, u
1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.687999999999999945e-01 -5.906000000000000139e-02 9.766000000000000236e-01 8.412300000000000333e-01
9.608999999999999764e-01 -7.391000000000000347e-02 9.687999999999999945e-01 7.887100000000000222e-01
9.530999999999999472e-01 -8.863999999999999657e-02 9.608999999999999764e-01 7.372199999999999864e-01
9.453000000000000291e-01 -1.031299999999999994e-01 9.530999999999999472e-01 6.871699999999999475e-01
9.062999999999999945e-01 -1.691400000000000126e-01 8.516000000000000236e-01 2.315099999999999936e-01
8.594000000000000528e-01 -2.244500000000000106e-01 7.344000000000000528e-01 3.320000000000000034e-03
8.046999999999999709e-01 -2.453299999999999925e-01 6.171999999999999709e-01 -1.364100000000000035e-01
5.000000000000000000e-01 5.453999999999999820e-02 5.000000000000000000e-01 -2.058099999999999929e-01
2.343999999999999972e-01 1.752700000000000091e-01 4.531000000000000028e-01 -2.109000000000000041e-01
2.265999999999999959e-01 1.750700000000000034e-01 2.812999999999999945e-01 -1.566200000000000092e-01
1.562999999999999945e-01 1.607699999999999962e-01 1.718999999999999972e-01 -1.015000000000000069e-01
9.379999999999999449e-02 1.231700000000000017e-01 1.015999999999999959e-01 -6.433999999999999442e-02
7.810000000000000275e-02 1.088999999999999968e-01 7.030000000000000138e-02 -4.775000000000000078e-02
7.030000000000000138e-02 1.009099999999999997e-01 6.250000000000000000e-02 -4.191999999999999893e-02
6.250000000000000000e-02 9.232999999999999541e-02 5.469999999999999862e-02 -3.717000000000000165e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
